county,county_name,exposure_grp_mem_county,exposure_grp_mem_high_county,bias_grp_mem_county,bias_grp_mem_high_county,Epsilon,EpsilonHigh,Rho,RhoHigh
1001,"Autauga, Alabama",0.81739998,1.0022,0.055259999,-0.22747999,1.446782541,1.004409701,1.098921498,1.636602129
1003,"Baldwin, Alabama",0.78531998,1.0711,0.0295,-0.21518999,1.546732607,1.153084293,1.050048905,1.569931801
1005,"Barbour, Alabama",0.41512999,0.63069999,0.13457,-0.34086001,3.817768044,0.460600296,1.19622424,2.263991058
1007,"Bibb, Alabama",0.71012002,0.85317999,0.041080002,-0.27726999,1.816425314,0.743952828,1.066424573,1.813499045
1009,"Blount, Alabama",0.79758,0.90276998,0.00217,-0.24946,1.507585446,0.822771856,1.003617237,1.666751943
1011,"Bullock, Alabama",0.26952001,0.74261999,0.079740003,-0.19417,6.420599309,0.590609032,1.100144965,1.518556718
1013,"Butler, Alabama",0.4808,0.67765999,0.092780001,-0.31729999,3.159733777,0.512470306,1.134634636,2.058344138
1015,"Calhoun, Alabama",0.67798001,0.86505002,0.057190001,-0.23771,1.949939483,0.762192198,1.091767288,1.671505901
1017,"Chambers, Alabama",0.61041999,0.76675999,0.11264,-0.23977,2.276432674,0.621744335,1.182700288,1.730497698
1019,"Cherokee, Alabama",0.68746001,0.79114002,0.023,-0.2511,1.909260133,0.654451329,1.035871598,1.690920992
1021,"Chilton, Alabama",0.68048,0.81432998,0.033500001,-0.29148,1.93910181,0.686809961,1.052535997,1.863051525
1023,"Choctaw, Alabama",0.72106999,0.88454998,-0.0015,-0.2015,1.773655856,0.792998309,0.997657802,1.503807481
1025,"Clarke, Alabama",0.62497002,0.76824999,0.07976,-0.26514,2.200153505,0.623706096,1.12606713,1.803646513
1027,"Clay, Alabama",0.58502001,0.72069001,-0.01364,-0.35780999,2.418686482,0.563342752,0.980980008,2.092171485
1029,"Cleburne, Alabama",0.72794002,0.83068001,-0.021260001,-0.26370001,1.747479112,0.7103958,0.967269747,1.696398836
1031,"Coffee, Alabama",0.80939001,0.98044002,0.10106,-0.22409999,1.470996646,0.961630546,1.188846553,1.668667119
1033,"Colbert, Alabama",0.74980998,0.91058999,0.08946,-0.25351,1.667342465,0.835856089,1.157175132,1.773890468
1035,"Conecuh, Alabama",0.41286001,0.63317001,0.032170001,-0.19749001,3.844257016,0.46323977,1.041885794,1.507721948
1037,"Coosa, Alabama",0.58919001,0.75475001,0.12106,-0.25409999,2.394490684,0.606103205,1.195255335,1.801128637
1039,"Covington, Alabama",0.70185,0.82009,0.074749999,-0.28356999,1.84961174,0.695044537,1.124467858,1.884458484
1041,"Crenshaw, Alabama",0.67451,0.81461,0.00348,-0.31636,1.965115417,0.687208429,1.005269225,1.930222965
1043,"Cullman, Alabama",0.69111001,0.84511,-0.019440001,-0.27123001,1.893895286,0.731766662,0.970861884,1.725636477
1045,"Dale, Alabama",0.68618,0.97878999,0.08501,-0.21289,1.914687108,0.958461022,1.141432037,1.602231367
1047,"Dallas, Alabama",0.48030999,0.67650998,0.11314,-0.30107999,3.163977518,0.511156087,1.167894355,2.006692519
1049,"DeKalb, Alabama",0.64083999,0.7554,0.019309999,-0.31893,2.120903862,0.606941989,1.028974097,1.963192164
1051,"Elmore, Alabama",0.78555,0.9558,0.075489998,-0.23822001,1.545986888,0.915341889,1.134470852,1.696781386
1053,"Escambia, Alabama",0.44694999,0.61694998,0.095480002,-0.29607999,3.474773565,0.446079297,1.135937351,1.952893317
1055,"Etowah, Alabama",0.65232003,0.8283,0.031399999,-0.29122999,2.065979746,0.706921567,1.048109228,1.858528918
1057,"Fayette, Alabama",0.72557998,0.83912998,0.046950001,-0.28733,1.756415633,0.722845767,1.077310295,1.864462316
1059,"Franklin, Alabama",0.66158998,0.77596003,0.080250002,-0.29277,2.023020391,0.633933572,1.13038153,1.932223536
