,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree,Network_SES_assortativity,Network_H_Share_H,Network_H_Share_L,Network_Degree,Network_Clustering,Predicted_H_Share,Predicted_Exposure,Predicted_Friend_Bias
0,CcmvGRRH,0.5,1.4467825409048825,1.0989214975167119,0.2222222222222222,0.5263157894736842,0.9555555555555556,20,18,0.17589382302438963,0.5334071356781297,0.3437806352123299,30.9,0.3586259678077285,0.3719100872296701,0.8173999799999999,0.055259999
1,CcmvGRRH,0.5,1.4467825409048825,1.0989214975167119,0.1875,0.47058823529411764,0.953125,20,16,0.17589382302438963,0.5334071356781297,0.3437806352123299,30.9,0.3586259678077285,0.3719100872296701,0.8173999799999999,0.055259999
0,PTlbodQx,0.5,1.5467326070068914,1.0500489054402184,0.55,1.1,0.95,20,20,0.12097939196082431,0.5286179554557344,0.4008570794746352,31.4,0.3690731266775582,0.3739444781720741,0.78531998,0.02950000000000006
1,PTlbodQx,0.5,1.5467326070068914,1.0500489054402184,0.21052631578947367,0.42105263157894735,0.9473684210526316,20,19,0.12097939196082431,0.5286179554557344,0.4008570794746352,31.4,0.3690731266775582,0.3739444781720741,0.78531998,0.02950000000000006
0,UPGXUCKy,0.5,3.817768044173344,1.196224239569674,0.05,0.1,0.95,20,20,0.5264783478513649,0.7828185668245458,0.21868089958820355,30.16,0.41051256619169313,0.1735167940374363,0.41512999,0.13456999999999994
1,UPGXUCKy,0.5,3.817768044173344,1.196224239569674,0.15789473684210525,0.4,0.9605263157894737,20,19,0.5264783478513649,0.7828185668245458,0.21868089958820355,30.16,0.41051256619169313,0.1735167940374363,0.41512999,0.13456999999999994
0,aATDSgBX,0.5,1.8164253135688249,1.0664245733713866,0.35,0.7,0.95,20,20,0.2227562212525061,0.5920093666416483,0.3538338192303604,31.32,0.37292038244455933,0.3329443252395394,0.71012002,0.04108000200000002
1,aATDSgBX,0.5,1.8164253135688249,1.0664245733713866,0.3888888888888889,0.7777777777777778,0.9444444444444444,20,18,0.2227562212525061,0.5920093666416483,0.3538338192303604,31.32,0.37292038244455933,0.3329443252395394,0.71012002,0.04108000200000002
0,GcjMhBKs,0.5,1.5075854459740716,1.0036172371393273,0.4444444444444444,0.8888888888888888,0.9444444444444444,20,18,0.14078987036478757,0.6027358609834309,0.4547215655265126,32.0,0.3738601364044109,0.39735268112442546,0.79758,0.0021699999999999857
1,GcjMhBKs,0.5,1.5075854459740716,1.0036172371393273,0.55,1.1,0.95,20,20,0.14078987036478757,0.6027358609834309,0.4547215655265126,32.0,0.3738601364044109,0.39735268112442546,0.79758,0.0021699999999999857
0,QgvqsgHm,0.5,6.420599309119943,1.100144964640562,0.1,0.2,0.95,20,20,0.6135649585902796,0.7686518338644027,0.1281427537462783,30.1,0.42795406522912366,0.12249295259377803,0.26952001,0.0797400030000001
1,QgvqsgHm,0.5,6.420599309119943,1.100144964640562,0.15789473684210525,0.4,0.9605263157894737,20,19,0.6135649585902796,0.7686518338644027,0.1281427537462783,30.1,0.42795406522912366,0.12249295259377803,0.26952001,0.0797400030000001
0,LEmntjGS,0.5,3.1597337770382694,1.1346346362864477,0.2631578947368421,0.5263157894736842,0.9473684210526316,20,19,0.43795082916510963,0.7242476027208317,0.26539444431628917,30.26,0.3835501019761401,0.2118743711075193,0.4808,0.09278000100000003
1,LEmntjGS,0.5,3.1597337770382694,1.1346346362864477,0.3888888888888889,0.7777777777777778,0.9444444444444444,20,18,0.43795082916510963,0.7242476027208317,0.26539444431628917,30.26,0.3835501019761401,0.2118743711075193,0.4808,0.09278000100000003
0,cUsRjLaW,0.5,1.9499394827289969,1.0917672881568703,0.5,1.0,0.9444444444444444,20,18,0.2830869840846151,0.6881596562892339,0.3881361495850458,31.14,0.37317845517307724,0.3104965762184407,0.67798001,0.05719000100000004
1,cUsRjLaW,0.5,1.9499394827289969,1.0917672881568703,0.4444444444444444,1.0,0.9555555555555556,20,18,0.2830869840846151,0.6881596562892339,0.3881361495850458,31.14,0.37317845517307724,0.3104965762184407,0.67798001,0.05719000100000004
0,UjFmBQWy,0.5,2.2764326738382206,1.182700287886794,0.42105263157894735,0.8421052631578947,0.9473684210526316,20,19,0.3840497673343514,0.7042728720895741,0.3024555291084747,29.68,0.37262649967442063,0.25806199434121907,0.61041999,0.11263999999999998
1,UjFmBQWy,0.5,2.2764326738382206,1.182700287886794,0.23529411764705882,0.631578947368421,0.9607843137254902,20,17,0.3840497673343514,0.7042728720895741,0.3024555291084747,29.68,0.37262649967442063,0.25806199434121907,0.61041999,0.11263999999999998
0,wWAXrTpp,0.5,1.9092601328184893,1.0358715979828756,0.4,0.8,0.95,20,20,0.2340939676893434,0.6414386273511945,0.38592028728171646,31.82,0.37952960173097017,0.33182684578796834,0.68746001,0.022999999999999948
1,wWAXrTpp,0.5,1.9092601328184893,1.0358715979828756,0.2777777777777778,0.5555555555555556,0.9444444444444444,20,18,0.2340939676893434,0.6414386273511945,0.38592028728171646,31.82,0.37952960173097017,0.33182684578796834,0.68746001,0.022999999999999948
0,gzFiFuiT,0.5,1.9391018104867155,1.0525359972480879,0.25,0.5,0.95,20,20,0.2489891339352807,0.6710625641179874,0.40604881272243515,31.32,0.36814016706839625,0.3232573526127142,0.68048,0.03350000099999997
1,gzFiFuiT,0.5,1.9391018104867155,1.0525359972480879,0.3157894736842105,0.631578947368421,0.9473684210526316,20,19,0.2489891339352807,0.6710625641179874,0.40604881272243515,31.32,0.36814016706839625,0.3232573526127142,0.68048,0.03350000099999997
0,NLPvZPLH,0.5,1.7736558555154955,0.9976578024469922,0.3157894736842105,0.631578947368421,0.9473684210526316,20,19,0.1848566263661542,0.49551816817472,0.3017546930993683,32.02,0.37436253767466193,0.36138142168156506,0.72106999,-0.001500000000000036
1,NLPvZPLH,0.5,1.7736558555154955,0.9976578024469922,0.3,0.6,0.95,20,20,0.1848566263661542,0.49551816817472,0.3017546930993683,32.02,0.37436253767466193,0.36138142168156506,0.72106999,-0.001500000000000036
0,YsfdluZL,0.5,2.200153504963326,1.1260671302820302,0.4,0.8,0.95,20,20,0.31839729985425347,0.6592573442071606,0.3282195156807597,30.64,0.36926873913130037,0.27750122670016686,0.62497002,0.07976000000000003
1,YsfdluZL,0.5,2.200153504963326,1.1260671302820302,0.35,0.7,0.95,20,20,0.31839729985425347,0.6592573442071606,0.3282195156807597,30.64,0.36926873913130037,0.27750122670016686,0.62497002,0.07976000000000003
0,CgpCIGYZ,0.5,2.418686482194002,0.9809800081089793,0.3,0.6,0.95,20,20,0.30043607412216333,0.709016447495451,0.38546714558820633,31.32,0.3656511946635606,0.2981814130584243,0.58502001,-0.013640000000000109
1,CgpCIGYZ,0.5,2.418686482194002,0.9809800081089793,0.6666666666666666,1.3333333333333333,0.9444444444444444,20,18,0.30043607412216333,0.709016447495451,0.38546714558820633,31.32,0.3656511946635606,0.2981814130584243,0.58502001,-0.013640000000000109
0,YNxfMWlL,0.5,1.747479112358735,0.9672697468632996,0.3,0.6,0.95,20,20,0.14043230971300205,0.5125291053919733,0.36423375643812844,32.14,0.3746291674304064,0.3762859442056327,0.72794002,-0.02126000099999991
1,YNxfMWlL,0.5,1.747479112358735,0.9672697468632996,0.3,0.6,0.95,20,20,0.14043230971300205,0.5125291053919733,0.36423375643812844,32.14,0.3746291674304064,0.3762859442056327,0.72794002,-0.02126000099999991
0,VAAXqMqA,0.5,1.4709966459803474,1.1888465528385066,0.42105263157894735,0.8421052631578947,0.9473684210526316,20,19,0.18375977335669277,0.6660309890083935,0.4674610429762628,30.1,0.3608260941079925,0.34040978966860325,0.8093900100000001,0.10106000000000005
1,VAAXqMqA,0.5,1.4709966459803474,1.1888465528385066,0.5294117647058824,1.1111111111111112,0.9470588235294117,20,17,0.18375977335669277,0.6660309890083935,0.4674610429762628,30.1,0.3608260941079925,0.34040978966860325,0.8093900100000001,0.10106000000000005
0,BwbHhJkx,0.5,1.667342464553486,1.157175131619733,0.3157894736842105,0.7,0.9548872180451128,20,19,0.2451245575939953,0.6113575375623752,0.3502610557739211,30.66,0.3652922420300416,0.32398293028924163,0.74980998,0.08946
1,BwbHhJkx,0.5,1.667342464553486,1.157175131619733,0.5555555555555556,1.1578947368421053,0.9494949494949495,20,18,0.2451245575939953,0.6113575375623752,0.3502610557739211,30.66,0.3652922420300416,0.32398293028924163,0.74980998,0.08946
0,VdHRaSPx,0.5,3.8442570158344953,1.041885794363783,0.2631578947368421,0.5263157894736842,0.9473684210526316,20,19,0.4561993108931885,0.7686055717711872,0.28546053810519345,30.9,0.3990741588367595,0.19813112542344855,0.41286001,0.03217000100000006
1,VdHRaSPx,0.5,3.8442570158344953,1.041885794363783,0.2222222222222222,0.4444444444444444,0.9444444444444444,20,18,0.4561993108931885,0.7686055717711872,0.28546053810519345,30.9,0.3990741588367595,0.19813112542344855,0.41286001,0.03217000100000006
0,RRJpBygC,0.5,2.3944906839136664,1.1952553352542794,0.35294117647058826,0.8421052631578947,0.9558823529411765,20,17,0.3789973254258967,0.7176827591387949,0.3182348579973602,29.72,0.36759006102691544,0.24647035349758775,0.58919001,0.12106000000000001
1,RRJpBygC,0.5,2.3944906839136664,1.1952553352542794,0.3888888888888889,0.8421052631578947,0.9513888888888888,20,18,0.3789973254258967,0.7176827591387949,0.3182348579973602,29.72,0.36759006102691544,0.24647035349758775,0.58919001,0.12106000000000001
0,MjRhvcsr,0.5,1.8496117404003707,1.1244678577735092,0.375,1.0,0.9625,20,16,0.280800208964457,0.6659513920060917,0.3676131480452507,30.82,0.36069846084288437,0.3120809524025394,0.70185,0.07474999900000003
1,MjRhvcsr,0.5,1.8496117404003707,1.1244678577735092,0.47368421052631576,0.9473684210526315,0.9473684210526316,20,19,0.280800208964457,0.6659513920060917,0.3676131480452507,30.82,0.36069846084288437,0.3120809524025394,0.70185,0.07474999900000003
