,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
0,NbdeWnhF,0.5,0.5,1.5,0.5714285714285714,1.1,0.948051948051948,20,7
1,NbdeWnhF,0.5,0.5,1.5,0.3333333333333333,1.0526315789473684,0.9666666666666667,20,3
2,NbdeWnhF,0.5,0.5,1.5,0.5714285714285714,1.25,0.9428571428571428,20,7
3,NbdeWnhF,0.5,0.5,1.5,0.0,0.7,1.0,20,10
4,NbdeWnhF,0.5,0.5,1.5,0.375,1.1,0.9659090909090909,20,8
5,NbdeWnhF,0.5,0.5,1.5,0.5714285714285714,1.1764705882352942,0.9428571428571428,20,7
6,NbdeWnhF,0.5,0.5,1.5,0.5,0.9473684210526315,0.9444444444444444,20,14
7,NbdeWnhF,0.5,0.5,1.5,0.14285714285714285,0.9,0.9841269841269842,20,7
8,NbdeWnhF,0.5,0.5,1.5,0.36363636363636365,0.5263157894736842,0.9272727272727272,20,11
9,NbdeWnhF,0.5,0.5,1.5,0.6,1.1111111111111112,0.94,20,10
0,VAKoTpyW,0.5,0.55,1.5,0.1,0.7,0.9857142857142858,20,10
1,VAKoTpyW,0.5,0.55,1.5,0.3333333333333333,1.1578947368421053,0.9696969696969697,20,6
2,VAKoTpyW,0.5,0.55,1.5,0.5,1.1764705882352942,0.95,20,4
3,VAKoTpyW,0.5,0.55,1.5,0.5,1.0,0.95,20,12
4,VAKoTpyW,0.5,0.55,1.5,0.36363636363636365,1.1,0.9669421487603306,20,11
5,VAKoTpyW,0.5,0.55,1.5,0.5,1.263157894736842,0.9583333333333334,20,8
6,VAKoTpyW,0.5,0.55,1.5,0.4166666666666667,1.0526315789473684,0.9583333333333334,20,12
7,VAKoTpyW,0.5,0.55,1.5,0.375,0.8235294117647058,0.9464285714285714,20,8
8,VAKoTpyW,0.5,0.55,1.5,0.3333333333333333,1.1111111111111112,0.9666666666666667,20,6
9,VAKoTpyW,0.5,0.55,1.5,0.375,0.7368421052631579,0.9464285714285714,20,8
0,qOqsKZSm,0.5,0.6000000000000001,1.5,0.8333333333333334,1.7,0.9509803921568627,20,6
1,qOqsKZSm,0.5,0.6000000000000001,1.5,0.42857142857142855,1.263157894736842,0.9642857142857143,20,7
2,qOqsKZSm,0.5,0.6000000000000001,1.5,0.36363636363636365,1.0526315789473684,0.9636363636363636,20,11
3,qOqsKZSm,0.5,0.6000000000000001,1.5,0.3333333333333333,0.9473684210526315,0.962962962962963,20,9
4,qOqsKZSm,0.5,0.6000000000000001,1.5,0.9,1.4,0.9357142857142857,20,10
5,qOqsKZSm,0.5,0.6000000000000001,1.5,0.38461538461538464,1.0,0.9572649572649573,20,13
6,qOqsKZSm,0.5,0.6000000000000001,1.5,0.5,1.2,0.9583333333333334,20,8
7,qOqsKZSm,0.5,0.6000000000000001,1.5,0.6666666666666666,1.3333333333333333,0.9444444444444444,20,6
8,qOqsKZSm,0.5,0.6000000000000001,1.5,0.6666666666666666,1.2,0.9444444444444444,20,9
9,qOqsKZSm,0.5,0.6000000000000001,1.5,0.625,1.4736842105263157,0.9553571428571429,20,8
0,GMRczifo,0.5,0.6500000000000001,1.5,0.2727272727272727,0.9473684210526315,0.9696969696969697,20,11
1,GMRczifo,0.5,0.6500000000000001,1.5,0.45454545454545453,1.1,0.9586776859504132,20,11
2,GMRczifo,0.5,0.6500000000000001,1.5,0.3,1.2,0.975,20,10
3,GMRczifo,0.5,0.6500000000000001,1.5,0.6666666666666666,1.263157894736842,0.9444444444444444,20,9
4,GMRczifo,0.5,0.6500000000000001,1.5,0.375,1.0526315789473684,0.9625,20,8
5,GMRczifo,0.5,0.6500000000000001,1.5,0.5454545454545454,1.263157894736842,0.9545454545454546,20,11
6,GMRczifo,0.5,0.6500000000000001,1.5,0.75,1.1578947368421053,0.9318181818181819,20,8
7,GMRczifo,0.5,0.6500000000000001,1.5,0.3333333333333333,0.9473684210526315,0.962962962962963,20,9
8,GMRczifo,0.5,0.6500000000000001,1.5,0.2857142857142857,1.1111111111111112,0.9714285714285714,20,7
9,GMRczifo,0.5,0.6500000000000001,1.5,0.36363636363636365,1.2,0.9696969696969697,20,11
0,kNgdowiZ,0.5,0.7000000000000002,1.5,0.2857142857142857,1.0,0.9714285714285714,20,7
1,kNgdowiZ,0.5,0.7000000000000002,1.5,0.6,1.1764705882352942,0.94,20,5
2,kNgdowiZ,0.5,0.7000000000000002,1.5,0.2,1.0526315789473684,0.98,20,5
3,kNgdowiZ,0.5,0.7000000000000002,1.5,0.6666666666666666,1.1111111111111112,0.9333333333333333,20,6
4,kNgdowiZ,0.5,0.7000000000000002,1.5,0.42857142857142855,1.1,0.961038961038961,20,7
5,kNgdowiZ,0.5,0.7000000000000002,1.5,0.6666666666666666,1.1111111111111112,0.9333333333333333,20,9
6,kNgdowiZ,0.5,0.7000000000000002,1.5,0.3333333333333333,0.9,0.962962962962963,20,6
7,kNgdowiZ,0.5,0.7000000000000002,1.5,0.2222222222222222,0.8,0.9722222222222222,20,9
8,kNgdowiZ,0.5,0.7000000000000002,1.5,0.375,1.1,0.9659090909090909,20,8
9,kNgdowiZ,0.5,0.7000000000000002,1.5,0.5384615384615384,0.9,0.9401709401709402,20,13
0,vhfyblDt,0.5,0.7500000000000002,1.5,0.6,1.263157894736842,0.95,20,10
1,vhfyblDt,0.5,0.7500000000000002,1.5,0.125,0.9473684210526315,0.9861111111111112,20,8
2,vhfyblDt,0.5,0.7500000000000002,1.5,0.2727272727272727,0.7368421052631579,0.961038961038961,20,11
3,vhfyblDt,0.5,0.7500000000000002,1.5,0.6,1.368421052631579,0.9538461538461539,20,10
4,vhfyblDt,0.5,0.7500000000000002,1.5,0.5,1.2222222222222223,0.9545454545454546,20,8
5,vhfyblDt,0.5,0.7500000000000002,1.5,0.3333333333333333,0.9473684210526315,0.962962962962963,20,6
6,vhfyblDt,0.5,0.7500000000000002,1.5,0.5,1.0526315789473684,0.95,20,6
7,vhfyblDt,0.5,0.7500000000000002,1.5,0.6666666666666666,1.0,0.9333333333333333,20,6
8,vhfyblDt,0.5,0.7500000000000002,1.5,0.6,1.1578947368421053,0.9454545454545454,20,5
9,vhfyblDt,0.5,0.7500000000000002,1.5,0.25,1.1,0.9772727272727273,20,8
0,uPaAjAOF,0.5,0.8000000000000003,1.5,0.5,1.263157894736842,0.9583333333333334,20,6
1,uPaAjAOF,0.5,0.8000000000000003,1.5,0.5714285714285714,1.1578947368421053,0.948051948051948,20,7
2,uPaAjAOF,0.5,0.8000000000000003,1.5,0.4444444444444444,1.2222222222222223,0.9595959595959596,20,9
3,uPaAjAOF,0.5,0.8000000000000003,1.5,0.6,1.7894736842105263,0.9647058823529412,20,5
4,uPaAjAOF,0.5,0.8000000000000003,1.5,0.2857142857142857,1.3,0.978021978021978,20,7
5,uPaAjAOF,0.5,0.8000000000000003,1.5,0.5555555555555556,1.368421052631579,0.9572649572649573,20,9
6,uPaAjAOF,0.5,0.8000000000000003,1.5,0.6153846153846154,1.263157894736842,0.9487179487179487,20,13
7,uPaAjAOF,0.5,0.8000000000000003,1.5,0.42857142857142855,1.2,0.9642857142857143,20,7
8,uPaAjAOF,0.5,0.8000000000000003,1.5,0.42857142857142855,1.3,0.967032967032967,20,7
9,uPaAjAOF,0.5,0.8000000000000003,1.5,0.5,1.263157894736842,0.9583333333333334,20,10
0,aTAJJYRA,0.5,0.8500000000000003,1.5,0.3333333333333333,1.0526315789473684,0.9666666666666667,20,9
1,aTAJJYRA,0.5,0.8500000000000003,1.5,0.375,0.9,0.9583333333333334,20,8
2,aTAJJYRA,0.5,0.8500000000000003,1.5,0.4,0.6666666666666666,0.9333333333333333,20,5
3,aTAJJYRA,0.5,0.8500000000000003,1.5,0.42857142857142855,1.0526315789473684,0.9571428571428572,20,7
4,aTAJJYRA,0.5,0.8500000000000003,1.5,0.375,0.7058823529411765,0.9375,20,8
5,aTAJJYRA,0.5,0.8500000000000003,1.5,0.3333333333333333,1.0526315789473684,0.9666666666666667,20,6
6,aTAJJYRA,0.5,0.8500000000000003,1.5,0.4444444444444444,1.263157894736842,0.962962962962963,20,9
7,aTAJJYRA,0.5,0.8500000000000003,1.5,0.42857142857142855,1.1111111111111112,0.9571428571428572,20,7
8,aTAJJYRA,0.5,0.8500000000000003,1.5,0.2222222222222222,1.0,0.9753086419753086,20,9
9,aTAJJYRA,0.5,0.8500000000000003,1.5,0.5714285714285714,1.263157894736842,0.9523809523809523,20,7
0,fMmxstSi,0.5,0.9000000000000004,1.5,0.375,0.9,0.9583333333333334,20,8
1,fMmxstSi,0.5,0.9000000000000004,1.5,0.36363636363636365,0.631578947368421,0.9393939393939394,20,11
2,fMmxstSi,0.5,0.9000000000000004,1.5,0.42857142857142855,0.8,0.9464285714285714,20,7
3,fMmxstSi,0.5,0.9000000000000004,1.5,0.375,1.0,0.9583333333333334,20,8
4,fMmxstSi,0.5,0.9000000000000004,1.5,0.2857142857142857,1.0526315789473684,0.9714285714285714,20,7
5,fMmxstSi,0.5,0.9000000000000004,1.5,0.5,0.9473684210526315,0.9444444444444444,20,10
6,fMmxstSi,0.5,0.9000000000000004,1.5,0.2857142857142857,0.9,0.9682539682539683,20,7
7,fMmxstSi,0.5,0.9000000000000004,1.5,0.36363636363636365,0.9,0.9595959595959596,20,11
8,fMmxstSi,0.5,0.9000000000000004,1.5,0.4444444444444444,1.4,0.9682539682539683,20,9
9,fMmxstSi,0.5,0.9000000000000004,1.5,0.25,0.9473684210526315,0.9722222222222222,20,8
0,UDzWtlfE,0.5,0.9500000000000004,1.5,0.4,1.0526315789473684,0.96,20,10
1,UDzWtlfE,0.5,0.9500000000000004,1.5,0.25,0.6,0.9583333333333334,20,8
2,UDzWtlfE,0.5,0.9500000000000004,1.5,0.18181818181818182,0.7,0.974025974025974,20,11
3,UDzWtlfE,0.5,0.9500000000000004,1.5,0.375,1.1,0.9659090909090909,20,8
4,UDzWtlfE,0.5,0.9500000000000004,1.5,0.42857142857142855,1.1,0.961038961038961,20,7
5,UDzWtlfE,0.5,0.9500000000000004,1.5,0.125,0.631578947368421,0.9791666666666666,20,8
6,UDzWtlfE,0.5,0.9500000000000004,1.5,0.25,0.7368421052631579,0.9642857142857143,20,4
7,UDzWtlfE,0.5,0.9500000000000004,1.5,0.16666666666666666,0.8,0.9791666666666666,20,6
8,UDzWtlfE,0.5,0.9500000000000004,1.5,0.2727272727272727,0.6,0.9545454545454546,20,11
9,UDzWtlfE,0.5,0.9500000000000004,1.5,0.42857142857142855,1.0,0.9523809523809523,20,7
0,pVfYxRYv,0.5,1.0000000000000004,1.5,0.3333333333333333,1.0,0.962962962962963,20,9
1,pVfYxRYv,0.5,1.0000000000000004,1.5,0.25,0.7368421052631579,0.9642857142857143,20,12
2,pVfYxRYv,0.5,1.0000000000000004,1.5,0.5555555555555556,1.1578947368421053,0.9494949494949495,20,9
3,pVfYxRYv,0.5,1.0000000000000004,1.5,0.1111111111111111,0.9473684210526315,0.9876543209876543,20,9
4,pVfYxRYv,0.5,1.0000000000000004,1.5,0.4,0.8421052631578947,0.95,20,10
5,pVfYxRYv,0.5,1.0000000000000004,1.5,0.125,0.9473684210526315,0.9861111111111112,20,8
6,pVfYxRYv,0.5,1.0000000000000004,1.5,0.3333333333333333,0.6666666666666666,0.9444444444444444,20,9
7,pVfYxRYv,0.5,1.0000000000000004,1.5,0.5,1.4444444444444444,0.9615384615384616,20,8
8,pVfYxRYv,0.5,1.0000000000000004,1.5,0.2857142857142857,0.8,0.9642857142857143,20,7
9,pVfYxRYv,0.5,1.0000000000000004,1.5,0.5,1.1,0.9545454545454546,20,12
0,GNxzFSsp,0.5,1.0500000000000005,1.5,0.5454545454545454,1.0526315789473684,0.9454545454545454,20,11
1,GNxzFSsp,0.5,1.0500000000000005,1.5,0.36363636363636365,1.0,0.9636363636363636,20,11
2,GNxzFSsp,0.5,1.0500000000000005,1.5,0.2,0.9473684210526315,0.9777777777777777,20,5
3,GNxzFSsp,0.5,1.0500000000000005,1.5,0.5555555555555556,1.0526315789473684,0.9444444444444444,20,9
4,GNxzFSsp,0.5,1.0500000000000005,1.5,0.5,1.1764705882352942,0.95,20,10
5,GNxzFSsp,0.5,1.0500000000000005,1.5,0.5714285714285714,1.1578947368421053,0.948051948051948,20,7
6,GNxzFSsp,0.5,1.0500000000000005,1.5,0.4,1.0,0.96,20,10
7,GNxzFSsp,0.5,1.0500000000000005,1.5,0.18181818181818182,0.9473684210526315,0.9797979797979798,20,11
8,GNxzFSsp,0.5,1.0500000000000005,1.5,0.6,1.368421052631579,0.9538461538461539,20,10
9,GNxzFSsp,0.5,1.0500000000000005,1.5,0.5,0.9,0.9444444444444444,20,10
0,ELlATmuL,0.5,1.1000000000000005,1.5,0.625,0.9,0.9305555555555556,20,8
1,ELlATmuL,0.5,1.1000000000000005,1.5,0.5,1.0526315789473684,0.95,20,8
2,ELlATmuL,0.5,1.1000000000000005,1.5,0.2222222222222222,0.7368421052631579,0.9682539682539683,20,9
3,ELlATmuL,0.5,1.1000000000000005,1.5,0.0,1.0,1.0,20,3
4,ELlATmuL,0.5,1.1000000000000005,1.5,0.6363636363636364,1.3,0.951048951048951,20,11
5,ELlATmuL,0.5,1.1000000000000005,1.5,0.38461538461538464,0.9,0.9572649572649573,20,13
6,ELlATmuL,0.5,1.1000000000000005,1.5,0.3333333333333333,0.7058823529411765,0.9444444444444444,20,9
7,ELlATmuL,0.5,1.1000000000000005,1.5,0.4444444444444444,0.9,0.9506172839506173,20,9
8,ELlATmuL,0.5,1.1000000000000005,1.5,0.4,1.263157894736842,0.9666666666666667,20,5
9,ELlATmuL,0.5,1.1000000000000005,1.5,0.5714285714285714,1.1578947368421053,0.948051948051948,20,7
0,jGbArSjh,0.5,1.1500000000000006,1.5,0.6,1.1111111111111112,0.94,20,10
1,jGbArSjh,0.5,1.1500000000000006,1.5,0.42857142857142855,0.9473684210526315,0.9523809523809523,20,7
2,jGbArSjh,0.5,1.1500000000000006,1.5,0.16666666666666666,0.6666666666666666,0.9722222222222222,20,6
