,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
0,jBhLzypj,0.5,1.5,1.0,0.3,0.5,0.94,20,10
1,jBhLzypj,0.5,1.5,1.0,0.25,0.42105263157894735,0.9375,20,8
2,jBhLzypj,0.5,1.5,1.0,0.125,0.7368421052631579,0.9821428571428571,20,8
3,jBhLzypj,0.5,1.5,1.0,0.6,0.8,0.925,20,10
4,jBhLzypj,0.5,1.5,1.0,0.3333333333333333,0.7058823529411765,0.9444444444444444,20,9
5,jBhLzypj,0.5,1.5,1.0,0.4444444444444444,0.9473684210526315,0.9506172839506173,20,9
6,jBhLzypj,0.5,1.5,1.0,0.14285714285714285,0.7368421052631579,0.9795918367346939,20,7
7,jBhLzypj,0.5,1.5,1.0,0.3,0.7,0.9571428571428572,20,10
8,jBhLzypj,0.5,1.5,1.0,0.45454545454545453,1.2,0.9621212121212122,20,11
9,jBhLzypj,0.5,1.5,1.0,0.45454545454545453,0.631578947368421,0.9242424242424242,20,11
0,tMBbRqxI,0.5,1.5,1.1,0.4444444444444444,0.9473684210526315,0.9506172839506173,20,9
1,tMBbRqxI,0.5,1.5,1.1,0.5,1.0526315789473684,0.95,20,12
2,tMBbRqxI,0.5,1.5,1.1,0.3333333333333333,0.631578947368421,0.9444444444444444,20,9
3,tMBbRqxI,0.5,1.5,1.1,0.2,0.47058823529411764,0.95,20,10
4,tMBbRqxI,0.5,1.5,1.1,0.25,0.631578947368421,0.9583333333333334,20,8
5,tMBbRqxI,0.5,1.5,1.1,0.5454545454545454,0.9473684210526315,0.9393939393939394,20,11
6,tMBbRqxI,0.5,1.5,1.1,0.5555555555555556,1.2,0.9537037037037037,20,9
7,tMBbRqxI,0.5,1.5,1.1,0.625,1.0,0.9305555555555556,20,8
8,tMBbRqxI,0.5,1.5,1.1,0.25,0.5555555555555556,0.95,20,12
9,tMBbRqxI,0.5,1.5,1.1,0.6,1.1111111111111112,0.94,20,10
0,bouFYamV,0.5,1.5,1.2000000000000002,0.3333333333333333,0.9,0.962962962962963,20,9
1,bouFYamV,0.5,1.5,1.2000000000000002,0.45454545454545453,1.2222222222222223,0.9586776859504132,20,11
2,bouFYamV,0.5,1.5,1.2000000000000002,0.5,1.1578947368421053,0.9545454545454546,20,12
